"scope","lang","const","translation","pages"
"global","en","str_choose","choose","project_admin.php,upload.php"
"global","hu","str_choose","kiválaszt","project_admin.php,upload.php"
"global","ro","str_choose","selectează","project_admin.php,upload.php"
"global","en","str_choose_file","choose file","upload.php"
"global","hu","str_choose_file","válasszon fájlt","upload.php"
"global","ro","str_choose_file","selectează fișierul","upload.php"
"global","en","str_choose_mtable","choose table","project_admin.php"
"global","hu","str_choose_mtable","válasszon táblát","project_admin.php"
"global","ro","str_choose_mtable","selectează tabelul","project_admin.php"
"global","en","str_citations","citations","interface.php"
"global","hu","str_citations","hivatkozások","interface.php"
"global","ro","str_citations","citații","interface.php"
"global","en","str_cite_person","citing","project_admin.php"
"global","hu","str_cite_person","hivatkozás","project_admin.php"
"global","ro","str_cite_person","citare","project_admin.php"
"global","en","str_collector","deliverer/Collector",
"global","hu","str_collector","gyüjtő",
"global","ro","str_collector","colectat de",
"global","en","str_column","column","common_pg_funcs.php,project_admin.php,upload_funcs.php,upload.php,upload_show-table-form.php"
"global","hu","str_column","oszlop","common_pg_funcs.php,project_admin.php,upload_funcs.php,upload.php,upload_show-table-form.php"
"global","ro","str_column","coloană","common_pg_funcs.php,project_admin.php,upload_funcs.php,upload.php,upload_show-table-form.php"
"global","en","str_columnorder","columns' order","upload.php,upload_show-table-form.php"
"global","hu","str_columnorder","oszlop sorrend","upload.php,upload_show-table-form.php"
"global","ro","str_columnorder","ordinea coloanelor","upload.php,upload_show-table-form.php"
"global","en","str_columns","columns","upload_show-table-form.php"
"global","hu","str_columns","oszlopok","upload_show-table-form.php"
"global","ro","str_columns","coloane","upload_show-table-form.php"
"global","en","str_comment","comment","interface.php,profile.php,project_admin.php,upload_show-table-form.php"
"global","hu","str_comment","megjegyzés","interface.php,profile.php,project_admin.php,upload_show-table-form.php"
"global","ro","str_comment","mențiune","interface.php,profile.php,project_admin.php,upload_show-table-form.php"
"global","en","str_comments","comments","interface.php"
"global","hu","str_comments","megjegyzések","interface.php"
"global","ro","str_comments","mențiuni","interface.php"
"global","en","str_common_name","common name","metaname.php"
"global","hu","str_common_name","közönséges név","metaname.php"
"global","ro","str_common_name","denumire populară","metaname.php"
"global","en","str_confirm","confirm","main.js.php,upload.php"
"global","hu","str_confirm","megerősít","main.js.php,upload.php"
"global","ro","str_confirm","confirmă","main.js.php,upload.php"
"global","en","str_confirmation_email_sending_failed","Sorry, we could not send a confirmation email, please contact your system administrator!","main.js.php"
"global","hu","str_confirmation_email_sending_failed","Sajnáljuk, nem tudtunk visszaigazoló e-mailt küldeni, kérjük, lépjen kapcsolatba rendszergazdájával.","main.js.php"
"global","ro","str_confirmation_email_sending_failed","Ne pare rău, dar nu s-a reușit trimiterea unui e-mail pentru confirmarea ștergerii contului. Vă rugăm contactați administratorii!","main.js.php"
"global","en","str_confirmation_email_sent","Confirmation email sent! Please check your mailbox and follow the link to remove your profile.","main.js.php"
"global","hu","str_confirmation_email_sent","Megerősítő email elküldve! Kérjük, ellenőrizze a postaládáját, és kövesse a linket a profil eltávolításához.","main.js.php"
"global","ro","str_confirmation_email_sent","Mailul de confirmare a fost trimis! Vă rugăm verificați adresa Dumneavoastră de e-mail și accesați linkul din e-mailul primit pentru a finaliza ștergerea contului de utilizator.","main.js.php"
"global","en","str_confirmation_no","Oh, no!","main.js.php"
"global","hu","str_confirmation_no","Nem, dehogy!","main.js.php"
"global","ro","str_confirmation_no","Nu!","main.js.php"
"global","en","str_confirmation_yes","Yes, I am sure!","main.js.php"
"global","hu","str_confirmation_yes","Igen, biztosan!","main.js.php"
"global","ro","str_confirmation_yes","Da, sunt sigur!","main.js.php"
"global","en","str_conf_necessary","a confirmation is required to modify it","profile.php"
"global","hu","str_conf_necessary","a módosításhoz megerősítés szükséges","profile.php"
"global","ro","str_conf_necessary","confirmare necesară","profile.php"
"global","en","str_connectionerror","Database connection error",
"global","hu","str_connectionerror","Sikertelen csatlakozás az adatbázishoz",
"global","ro","str_connectionerror","conectarea la baza de date a eșuat",
"global","en","str_connections","connections",
"global","hu","str_connections","kapcsolatok",
"global","ro","str_connections","conexiuni",
"global","en","str_constant_name","constant's name","project_admin.php"
"global","hu","str_constant_name","konstans neve","project_admin.php"
"global","ro","str_constant_name",,"project_admin.php"
"global","en","str_constraints","constraints","project_admin.php"
"global","hu","str_constraints","megszorítások","project_admin.php"
"global","ro","str_constraints","restricții","project_admin.php"
"global","en","str_contact","contact","common_pg_funcs.php,interface.php"
"global","hu","str_contact","kapcsolat","common_pg_funcs.php,interface.php"
"global","ro","str_contact","contact","common_pg_funcs.php,interface.php"
"global","en","str_contact_the_maintainers","If you have any questions or need help, please contact the database maintainers at","common_pg_funcs.php"
"global","hu","str_contact_the_maintainers","Ha kérdése van vagy segítségre van szüksége, vegye fel a kapcsolatot az adminisztrátorokkal a","common_pg_funcs.php"
"global","ro","str_contact_the_maintainers","Dacă aveți întrebări sau aveți nevoie de ajutor, vă rugăm contactați administratorii pe adresa","common_pg_funcs.php"
"global","en","str_contains","contains",
"global","hu","str_contains","tartalmazza",
"global","ro","str_contains","conține",
"global","en","str_continue_interrupted_imports","List of saved import entries. Imports can be continued or discarded here.","interface.php"
"global","hu","str_continue_interrupted_imports","Elmentett adat importolálások listája. A listában található adatbetöltéseket innen be lehet fejezni, vagy eldobni.","interface.php"
"global","ro","str_continue_interrupted_imports","Lista încărcărilor de date salvate. De aici pot fi continuate sau șterse încărcările de date salvate. ","interface.php"
"global","en","str_contrib_partner","contributitor partners",
"global","hu","str_contrib_partner","együttműködő partnerek",
"global","ro","str_contrib_partner","parteneri",
"global","en","str_control","control","project_admin.php"
"global","hu","str_control","kontrol","project_admin.php"
"global","ro","str_control","control","project_admin.php"
"global","en","str_cookies","cookies",
"global","hu","str_cookies","cookies",
"global","ro","str_cookies","cookie-uri",
"global","en","str_coordinate_transformation_failed","coordinate transformation unsuccessful","upload_funcs.php"
"global","hu","str_coordinate_transformation_failed","koordináta transzformáció sikertelen","upload_funcs.php"
"global","ro","str_coordinate_transformation_failed","transformarea coordonatelor a eșuat","upload_funcs.php"
"global","en","str_coordsys","coordinate system","upload_show-table-form.php"
"global","hu","str_coordsys","koordináta rendszer","upload_show-table-form.php"
"global","ro","str_coordsys","sistem de coordonate","upload_show-table-form.php"
"global","en","str_coord_view","view coordinates",
"global","hu","str_coord_view","koordináta megmutatása",
"global","ro","str_coord_view","vizualizează coordonatele",
"global","en","str_copy_paste_link","If the links above are not clickable, try to copy and paste them into the address bar of your web browser.","common_pg_funcs.php"
"global","hu","str_copy_paste_link","Ha a fenti linkek nem kattinthatóak, másolja őket a böngészőbe.","common_pg_funcs.php"
"global","ro","str_copy_paste_link","Dacă linkurile de mai sus nu sunt active, copiați-le în browser.","common_pg_funcs.php"
"global","en","str_correctly","correctly",
"global","hu","str_correctly","helyesen",
"global","ro","str_correctly","corect",
"global","en","str_create","create","common_pg_funcs.php,interface.php,profile.php,project_admin.php"
"global","hu","str_create","létrehoz","common_pg_funcs.php,interface.php,profile.php,project_admin.php"
"global","ro","str_create","creează","common_pg_funcs.php,interface.php,profile.php,project_admin.php"
"global","en","str_create_new_password_link","If you didn't log in after you accept your invitation, you have to create a new password. Click the following link to create new password","common_pg_funcs.php"
"global","hu","str_create_new_password_link","Ha nem jelentkezett be miután elfogadta a meghívót, egy új jelszót kell megadnia. Ehhez kattintson az alábbi linkre.","common_pg_funcs.php"
"global","ro","str_create_new_password_link","Dacă nu v-ați logat după ce ați acceptat invitația, trebuie să creeați o parolă nouă. Urmăriți linkul următor pentru a crea o parolă nouă","common_pg_funcs.php"
"global","en","str_create_pg_user","create postgres user","profile.php"
"global","hu","str_create_pg_user","postgres felhasználó készítése","profile.php"
"global","ro","str_create_pg_user","creare utilizator postgres","profile.php"
"global","en","str_create_table","create table","interface.php,project_admin.php"
"global","hu","str_create_table","tábla létrehozása","interface.php,project_admin.php"
"global","ro","str_create_table","creare tabel","interface.php,project_admin.php"
"global","en","str_crosses","crosses",
"global","hu","str_crosses","keresztezi",
"global","ro","str_crosses","crosses",
"global","en","str_currentstate","continue later","upload_show-table-form.php"
"global","hu","str_currentstate","későbbi folytatás","upload_show-table-form.php"
"global","ro","str_currentstate","continuă mai târziu","upload_show-table-form.php"
"global","en","str_data","data","evaluation.php,interface.php,mainpage_footer.php,mainpage_sidebar1.php,profile.php,project_admin.php,results_builder.php,upload_funcs.php,upload.php,upload_show-table-form.php"
"global","hu","str_data","adat","evaluation.php,interface.php,mainpage_footer.php,mainpage_sidebar1.php,profile.php,project_admin.php,results_builder.php,upload_funcs.php,upload.php,upload_show-table-form.php"
"global","ro","str_data","dată","evaluation.php,interface.php,mainpage_footer.php,mainpage_sidebar1.php,profile.php,project_admin.php,results_builder.php,upload_funcs.php,upload.php,upload_show-table-form.php"
"global","ru","str_data","данные","evaluation.php,interface.php,mainpage_footer.php,mainpage_sidebar1.php,profile.php,project_admin.php,results_builder.php,upload_funcs.php,upload.php,upload_show-table-form.php"
"global","en","str_database","database","upload_show-table-form.php"
"global","hu","str_database","adatbázis","upload_show-table-form.php"
"global","ro","str_database","bază de date","upload_show-table-form.php"
"global","en","str_data_evaluation","data evaluation","evaluation.php"
"global","hu","str_data_evaluation","adat véleményezés","evaluation.php"
"global","ro","str_data_evaluation","evaluarea observației","evaluation.php"
"global","en","str_dataheader","data header","results_builder.php"
"global","hu","str_dataheader","adat fejléc","results_builder.php"
"global","ro","str_dataheader","alte informații referitoare la observație","results_builder.php"
"global","en","str_datahistorypage","Data history page",
"global","hu","str_datahistorypage","Adat történeti lap",
"global","ro","str_datahistorypage","istoric date",
"global","en","str_data_mod","data modification","profile.php,project_admin.php"
"global","hu","str_data_mod","adat módosítás","profile.php,project_admin.php"
"global","ro","str_data_mod","modificare date","profile.php,project_admin.php"
"global","en","str_data_p","data points","interface.php"
"global","hu","str_data_p","adat pont","interface.php"
"global","ro","str_data_p","observații","interface.php"
"global","en","str_datapage","data page",
"global","hu","str_datapage","adat lap",
"global","ro","str_datapage","pagina cu date",
"global","en","str_data_providers","data providers","interface.php"
"global","hu","str_data_providers","adatközlők","interface.php"
"global","ro","str_data_providers","sursa datelor","interface.php"
"global","en","str_data_query","data query","mainpage_footer.php"
"global","hu","str_data_query","adat lekérdezés","mainpage_footer.php"
"global","ro","str_data_query","interogare date","mainpage_footer.php"
"global","en","str_datasheet","datasheet",
"global","hu","str_datasheet","adatlap",
"global","ro","str_datasheet","datasheet",
"global","en","str_data_summary","data summary","interface.php"
"global","hu","str_data_summary","adat összefoglaló","interface.php"
"global","ro","str_data_summary","sumar de date","interface.php"
"global","en","str_dataupid","Uploading ID","interface.php,results_builder.php"
"global","hu","str_dataupid","Adatfeltöltés azonosítója","interface.php,results_builder.php"
"global","ro","str_dataupid","identificator încărcare de date","interface.php,results_builder.php"
"global","en","str_datauploader","data uploader","interface.php,results_builder.php"
"global","hu","str_datauploader","adatfeltöltő","interface.php,results_builder.php"
"global","ro","str_datauploader","persoana care a încărcat observația","interface.php,results_builder.php"
"global","en","str_data_upload_from_file","Data upload from file","upload_funcs.php,upload.php"
"global","hu","str_data_upload_from_file","Adat felvitel fájlból","upload_funcs.php,upload.php"
"global","ro","str_data_upload_from_file","încărcare date din fișier","upload_funcs.php,upload.php"
"global","en","str_datauptime","uploading time","interface.php"
"global","hu","str_datauptime","adatfeltöltés időpontja","interface.php"
"global","ro","str_datauptime","data încărcării observației","interface.php"
"global","en","str_date","date","interface.php,project_admin.php,upload_show-table-form.php"
"global","hu","str_date","dátum","interface.php,project_admin.php,upload_show-table-form.php"
"global","ro","str_date","data","interface.php,project_admin.php,upload_show-table-form.php"
"global","en","str_date_period","date period",
"global","hu","str_date_period","dátum időszak",
"global","ro","str_date_period","perioadă",
"global","en","str_datetime","date and time","interface.php,project_admin.php,upload_show-table-form.php"
"global","hu","str_datetime","dátum és idő","interface.php,project_admin.php,upload_show-table-form.php"
"global","ro","str_datetime","data și ora","interface.php,project_admin.php,upload_show-table-form.php"
"global","en","str_datum_filter","date filters",
"global","hu","str_datum_filter","dátum szűrők",
"global","ro","str_datum_filter","filtru dată",
"global","en","str_db","database","interface.php,profile.php,project_admin.php"
"global","hu","str_db","adatbázis","interface.php,profile.php,project_admin.php"
"global","ro","str_db","bază de date","interface.php,profile.php,project_admin.php"
"global","en","str_db_cols","database columns","interface.php,project_admin.php"
"global","hu","str_db_cols","adatbázis oszlopok","interface.php,project_admin.php"
"global","ro","str_db_cols","coloane bază de date","interface.php,project_admin.php"
"global","en","str_db_download","download database","interface.php"
"global","hu","str_db_download","adatbázis letöltése","interface.php"
"global","ro","str_db_download","descărcare bază de date","interface.php"
"global","en","str_dbs","databases",
"global","hu","str_dbs","adatbázisok",
"global","ro","str_dbs","baze de date",
"global","en","str_db_summary","database summary","interface.php"
"global","hu","str_db_summary","adatbázis összefoglaló","interface.php"
"global","ro","str_db_summary","sumar bază de date","interface.php"
"global","en","str_dear","dear","afuncs.php,common_pg_funcs.php,create_new_project.php"
"global","hu","str_dear","kedves","afuncs.php,common_pg_funcs.php,create_new_project.php"
"global","ro","str_dear","stimate","afuncs.php,common_pg_funcs.php,create_new_project.php"
"global","en","str_decimal_number","decimal number","project_admin.php"
"global","hu","str_decimal_number","tizedes érték","project_admin.php"
"global","ro","str_decimal_number","număr zecimal","project_admin.php"
"global","en","str_decline","decline","common_pg_funcs.php"
"global","hu","str_decline","elutasítom","common_pg_funcs.php"
"global","ro","str_decline","respinge","common_pg_funcs.php"
"global","en","str_decrease_text_size","decrease fonts","upload_show-table-form.php"
"global","hu","str_decrease_text_size","betűket csökkent","upload_show-table-form.php"
"global","ro","str_decrease_text_size","micșorează caracterele","upload_show-table-form.php"
"global","en","str_default_lang","default language","profile.php"
"global","hu","str_default_lang","alapértelmezett nyelv","profile.php"
"global","ro","str_default_lang","limba prestabilită","profile.php"
"global","en","str_default_value","default value","project_admin.php,upload_show-table-form.php"
"global","hu","str_default_value","alapértelmezett érték","project_admin.php,upload_show-table-form.php"
"global","ro","str_default_value",,"project_admin.php,upload_show-table-form.php"
"global","en","str_default_values","default values","project_admin.php,upload_show-table-form.php"
"global","hu","str_default_values","alap értékek","project_admin.php,upload_show-table-form.php"
"global","ro","str_default_values","valori predefinite","project_admin.php,upload_show-table-form.php"
"global","en","str_definition","definition","project_admin.php"
"global","hu","str_definition","definíció","project_admin.php"
"global","ro","str_definition","definiție","project_admin.php"
"global","en","str_definitions","definitions","project_admin.php"
"global","hu","str_definitions","definíciók","project_admin.php"
"global","ro","str_definitions","definiții","project_admin.php"
"global","en","str_delete","delete","interface.php,project_admin.php"
"global","hu","str_delete","töröl","interface.php,project_admin.php"
"global","ro","str_delete","șterge","interface.php,project_admin.php"
"global","en","str_description","description","interface.php,project_admin.php"
"global","hu","str_description","leírás","interface.php,project_admin.php"
"global","ro","str_description","descriere","interface.php,project_admin.php"
"global","en","str_desktop_access","Database access from desktop applications",
"global","hu","str_desktop_access","Adatbázis elérés asztali alkalmazásokból",
"global","ro","str_desktop_access","accesare bază de date de pe aplicații desktop",
"global","en","str_details","details","results_builder.php"
"global","hu","str_details","részletek","results_builder.php"
"global","ro","str_details","detalii","results_builder.php"
"global","en","str_deutsch","Deutsch","profile.php"
"global","hu","str_deutsch","Német","profile.php"
"global","ro","str_deutsch","germană","profile.php"
"global","en","str_dialog","dialog",
"global","hu","str_dialog","párbeszéd",
"global","ro","str_dialog","dialog",
"global","en","str_diameter","Click query's diameter",
"global","hu","str_diameter","Klikk lekérdezés átmérője",
"global","ro","str_diameter","click diametru interogare",
"global","en","str_dinpi","Duna-Ipoly National Park Board of Directors",
"global","hu","str_dinpi","Duna-Ipoly Nemzeti Park Igazgatóság",
"global","ro","str_dinpi","Directoratul Parcului Național Duna-Ipoly",
"global","en","str_discl","Disclaimer",
"global","hu","str_discl","Jogi nyilatkozat",
"global","ro","str_discl","avertisment legal (disclaimer)",
"global","en","str_disjoint","disjoint",
"global","hu","str_disjoint","kivűl esik",
"global","ro","str_disjoint","nu conține",
"global","en","str_dist_explan","string distance value where the 0 means the exact match and 1 is the largest distance",
"global","hu","str_dist_explan","Sztring távolság érték, ahol a 0 a pontos egyezés és 1 a legnagyobb távolság",
"global","ro","str_dist_explan","valoare distanță string, unde valoare 0 denotă potrivire exactă și 1 este distanța cea mai mare",
"global","en","str_dnlike","I don't like!","interface.php"
"global","hu","str_dnlike","nem jó!","interface.php"
"global","ro","str_dnlike","nu îmi place!","interface.php"
"global","en","str_domain","domain","profile.php"
"global","hu","str_domain","domain","profile.php"
"global","ro","str_domain","domain","profile.php"
"global","en","str_done","done","afuncs.php,upload_funcs.php"
"global","hu","str_done","kész","afuncs.php,upload_funcs.php"
"global","ro","str_done","rezolvat","afuncs.php,upload_funcs.php"
"global","en","str_download","download","create_new_project.php,interface.php,results_builder.php,upload.php"
"global","hu","str_download","letöltés","create_new_project.php,interface.php,results_builder.php,upload.php"
"global","ro","str_download","descărcare","create_new_project.php,interface.php,results_builder.php,upload.php"
"global","en","str_downloadascsv","Download results as csv",
"global","hu","str_downloadascsv","Adatok letöltése csv formátumban",
"global","ro","str_downloadascsv","salvează datele în format .csv",
"global","en","str_downloadasgpx","Download results as gpx",
"global","hu","str_downloadasgpx","Adatok letöltése gpx formátumban",
"global","ro","str_downloadasgpx","salvează datele în format .gpx",
"global","en","str_downloadasshp","Download results as shp",
"global","hu","str_downloadasshp","Adatok letöltése shp formátumban",
"global","ro","str_downloadasshp","salvează datele în format .shp",
"global","en","str_download_full_size","download full size","upload.php"
"global","hu","str_download_full_size","letöltés teljes méretben","upload.php"
"global","ro","str_download_full_size","descărcare în mărimea originală","upload.php"
"global","en","str_downloads","downloads","interface.php"
"global","hu","str_downloads","letöltések","interface.php"
"global","ro","str_downloads","descărcări","interface.php"
"global","en","str_download_specieslist","download summary","results_builder.php"
"global","hu","str_download_specieslist","összefoglaló letöltése","results_builder.php"
"global","ro","str_download_specieslist","download summary","results_builder.php"
"global","en","str_drop_profile","drop profile","main.js.php,profile.php"
"global","hu","str_drop_profile","felhasználói fiók megszűntetése","main.js.php,profile.php"
"global","ro","str_drop_profile","ștergrea contului de utilizator","main.js.php,profile.php"
"global","en","str_drop_profile_confirm_text","Do you really want to delete your OpenBioMaps profile from this server???<br>You can't log in and use private services on this server till you will not receive an other invitation!","main.js.php"
"global","hu","str_drop_profile_confirm_text","Tényleg le akarod törölni az OpenBioMaps fiókodat erről a szerverről???<br>Nem fogsz tudni bejelentkezni és használni a privát szolgáltatásokat ezen a szerveren amíg valaki újra nem küld meghívót!","main.js.php"
